ID,GPA
801,2.9184881422245326
802,3.026800292322122
803,2.995853963722811
804,3.3207904140155797
805,2.717337006329009
806,3.2434245925173015
807,3.088692949520745
808,3.0732197852210894
809,2.9803807994231555
810,3.197005099618335
811,2.872068649325566
812,3.1041661138204004
813,2.9803807994231555
814,3.2588977568169573
815,2.8256491564265986
816,2.887541813625221
817,2.903014977924877
818,3.3207904140155797
819,3.181531935318679
820,3.351736742614891
821,3.21247826391799
822,3.1660587710190233
823,3.2588977568169573
824,3.135112442419712
825,3.5683610428100705
826,3.1505856067193676
827,2.995853963722811
828,3.0113271280224665
829,3.197005099618335
830,2.887541813625221
831,2.9649076351234998
832,2.903014977924877
833,3.0577466209214337
834,3.197005099618335
835,3.2588977568169573
836,2.9184881422245326
837,3.413629399813514
838,3.227951428217646
839,3.119639278120056
840,3.3826830712142026
841,3.3362635783152355
842,2.949434470823844
843,3.088692949520745
844,3.460048892712481
845,3.5683610428100705
846,3.197005099618335
847,3.460048892712481
848,3.181531935318679
849,3.1041661138204004
850,2.8411223207262544
851,3.3053172497159244
852,3.599307371409382
853,3.1660587710190233
854,3.3981562355138584
855,2.9649076351234998
856,3.227951428217646
857,2.8411223207262544
858,3.6147805357090377
859,3.2434245925173015
860,3.583834207109726
861,3.0577466209214337
862,3.3053172497159244
863,3.4291025641131694
864,3.2588977568169573
865,3.0113271280224665
866,3.1505856067193676
867,3.537414714210759
868,3.088692949520745
869,3.5219415499111033
870,3.537414714210759
871,3.3207904140155797
872,3.2434245925173015
873,3.3826830712142026
874,2.763756499227976
875,3.413629399813514
876,2.872068649325566
877,3.4755220570121366
878,3.042273456621778
879,2.810175992126943
880,3.2898440854162687
881,3.1041661138204004
882,3.274370921116613
883,3.135112442419712
884,2.9803807994231555
885,3.460048892712481
886,3.3207904140155797
887,3.0577466209214337
888,3.119639278120056
889,3.181531935318679
890,2.903014977924877
891,3.4909952213117923
892,3.088692949520745
893,3.197005099618335
894,2.949434470823844
895,3.67667319290766
896,3.3053172497159244
897,2.9339613065241883
898,3.181531935318679
899,3.460048892712481
900,3.2588977568169573
901,3.21247826391799
902,3.367209906914547
903,3.3362635783152355
904,3.2434245925173015
905,2.7947028278272876
906,3.537414714210759
907,2.949434470823844
908,3.3981562355138584
909,3.3053172497159244
910,3.4755220570121366
911,3.3207904140155797
912,2.9803807994231555
913,3.3981562355138584
914,3.7076195215069716
915,2.9649076351234998
916,3.3362635783152355
917,2.9803807994231555
918,3.413629399813514
919,2.9803807994231555
920,2.9184881422245326
921,3.274370921116613
922,3.5528878785104148
923,3.227951428217646
924,3.3826830712142026
925,3.197005099618335
926,2.9649076351234998
927,3.1041661138204004
928,3.4909952213117923
929,3.042273456621778
930,2.995853963722811
931,3.4291025641131694
932,3.274370921116613
933,3.413629399813514
934,3.181531935318679
935,3.4291025641131694
936,3.2434245925173015
937,3.274370921116613
938,3.1041661138204004
939,3.197005099618335
940,3.088692949520745
941,3.0577466209214337
942,3.4755220570121366
943,3.227951428217646
944,2.995853963722811
945,3.042273456621778
946,3.4909952213117923
947,3.181531935318679
948,3.537414714210759
949,3.5219415499111033
950,2.995853963722811
951,3.6302537000086934
952,2.6863906777296975
953,3.3053172497159244
954,3.1660587710190233
955,3.8159316716045613
956,3.537414714210759
957,3.1041661138204004
958,3.197005099618335
959,3.4291025641131694
960,3.3981562355138584
961,3.0577466209214337
962,3.2898440854162687
963,3.135112442419712
964,2.995853963722811
965,3.3826830712142026
966,3.227951428217646
967,2.670917513430042
968,3.78498534300525
969,3.135112442419712
970,2.9184881422245326
971,3.0577466209214337
972,3.21247826391799
973,3.3826830712142026
974,2.7328101706286647
975,3.181531935318679
976,3.1660587710190233
977,2.995853963722811
978,3.1041661138204004
979,2.9649076351234998
980,2.670917513430042
981,3.088692949520745
982,3.3362635783152355
983,3.2898440854162687
984,2.949434470823844
985,3.4291025641131694
986,3.413629399813514
987,3.119639278120056
988,3.1660587710190233
989,3.227951428217646
990,3.1505856067193676
991,3.769512178705594
992,2.949434470823844
993,3.351736742614891
994,3.197005099618335
995,3.135112442419712
996,3.2588977568169573
997,3.351736742614891
998,3.444575728412825
999,3.026800292322122
